trigger_type,trigger_ts_ms,trigger_time_s,ev_value,servo_change_time_s,servo_us_before,servo_us_after,servo_delta_us,latency_s
RADAR_GATE_ON,172567,0.09,43.2,0.255,1740.0,1220.0,-520.0,0.165
START_US_TURN,172671,0.194,-1.0,0.255,1740.0,1220.0,-520.0,0.061
RADAR_GATE_ON,172819,0.342,39.4,1.35,1220.0,1900.0,680.0,1.008
RADAR_GATE_ON,172931,0.454,43.5,1.35,1220.0,1900.0,680.0,0.8960000000000001
RADAR_GATE_ON,173074,0.597,37.5,1.35,1220.0,1900.0,680.0,0.7530000000000001
RADAR_GATE_ON,173455,0.978,46.4,1.35,1220.0,1900.0,680.0,0.3720000000000001
RADAR_GATE_ON,173637,1.16,55.6,1.35,1220.0,1900.0,680.0,0.19000000000000017
START_US_STRAIGHTEN,173739,1.262,,1.35,1220.0,1900.0,680.0,0.08800000000000008
RADAR_GATE_ON,174343,1.866,58.6,2.168,1900.0,1500.0,-400.0,0.30200000000000005
START_US_CENTER_HOLD,174555,2.078,,2.168,1900.0,1500.0,-400.0,0.0900000000000003
RADAR_GATE_ON,174594,2.117,58.6,2.168,1900.0,1500.0,-400.0,0.051000000000000156
RADAR_GATE_ON,174982,2.505,58.1,2.604,1500.0,1740.0,240.0,0.0990000000000002
RADAR_GATE_ON,175318,2.841,57.9,2.892,1740.0,1220.0,-520.0,0.05099999999999971
START_US_TURN,175321,2.844,-1.0,2.892,1740.0,1220.0,-520.0,0.04800000000000004
RADAR_GATE_ON,175601,3.124,57.1,3.903,1220.0,1900.0,680.0,0.7789999999999999
RADAR_GATE_ON,176191,3.714,58.6,3.903,1220.0,1900.0,680.0,0.18900000000000006
START_US_STRAIGHTEN,176332,3.855,,3.903,1220.0,1900.0,680.0,0.04800000000000004
RADAR_GATE_ON,176734,4.257,56.7,4.721,1900.0,1500.0,-400.0,0.4640000000000004
RADAR_GATE_ON,177009,4.532,54.8,4.721,1900.0,1500.0,-400.0,0.18900000000000006
START_US_CENTER_HOLD,177149,4.672,,4.721,1900.0,1500.0,-400.0,0.04900000000000038
RADAR_GATE_ON,177291,4.814,52.7,5.009,1500.0,1740.0,240.0,0.19500000000000028
RADAR_GATE_ON,177437,4.96,52.2,5.009,1500.0,1740.0,240.0,0.04900000000000038
RADAR_GATE_ON,177654,5.177,51.5,6.657,1140.0,1900.0,760.0,1.4800000000000004
START_US_TURN,177946,5.469,-1.0,6.657,1140.0,1900.0,760.0,1.1879999999999997
RADAR_GATE_ON,178075,5.598,47.9,6.657,1140.0,1900.0,760.0,1.0590000000000002
RADAR_GATE_ON,178260,5.783,51.5,6.657,1140.0,1900.0,760.0,0.8739999999999997
RADAR_GATE_ON,178544,6.067,51.9,6.657,1140.0,1900.0,760.0,0.5899999999999999
RADAR_GATE_ON,178682,6.205,52.0,6.657,1140.0,1900.0,760.0,0.45199999999999996
RADAR_GATE_ON,178889,6.412,51.5,6.657,1140.0,1900.0,760.0,0.2450000000000001
RADAR_GATE_ON,179036,6.559,48.3,6.657,1140.0,1900.0,760.0,0.09799999999999986
START_US_STRAIGHTEN,179040,6.563,,6.657,1140.0,1900.0,760.0,0.0940000000000003
RADAR_GATE_ON,179228,6.751,46.7,7.515,1900.0,1500.0,-400.0,0.7639999999999993
RADAR_GATE_ON,179509,7.032,43.0,7.515,1900.0,1500.0,-400.0,0.48299999999999965
RADAR_GATE_ON,179753,7.276,46.6,7.515,1900.0,1500.0,-400.0,0.23899999999999988
START_US_CENTER_HOLD,179900,7.423,,7.515,1900.0,1500.0,-400.0,0.09199999999999964
RADAR_GATE_ON,179941,7.464,50.3,7.515,1900.0,1500.0,-400.0,0.05099999999999927
RADAR_GATE_ON,180195,7.718,55.4,7.762,1500.0,1740.0,240.0,0.043999999999999595
RADAR_GATE_ON,180315,7.838,55.5,8.25,1740.0,1220.0,-520.0,0.4119999999999999
START_US_TURN,180678,8.201,-1.0,8.25,1740.0,1220.0,-520.0,0.04899999999999949
RADAR_GATE_ON,181024,8.547,63.4,9.27,1220.0,1900.0,680.0,0.722999999999999
RADAR_GATE_ON,181174,8.697,68.2,9.27,1220.0,1900.0,680.0,0.5730000000000004
START_US_STRAIGHTEN,181696,9.219,,9.27,1220.0,1900.0,680.0,0.051000000000000156
RADAR_GATE_ON,181797,9.32,78.0,10.089,1900.0,1500.0,-400.0,0.7690000000000001
RADAR_GATE_ON,182334,9.857,73.9,10.089,1900.0,1500.0,-400.0,0.2320000000000011
START_US_CENTER_HOLD,182513,10.036,,10.089,1900.0,1500.0,-400.0,0.053000000000000824
RADAR_GATE_ON,182620,10.143,69.6,10.573,1500.0,1740.0,240.0,0.4299999999999997
RADAR_GATE_ON,182981,10.504,67.7,10.573,1500.0,1740.0,240.0,0.06900000000000084
RADAR_GATE_ON,183339,10.862,66.2,12.651,1740.0,1500.0,-240.0,1.7889999999999997
RADAR_GATE_ON,183699,11.222,64.9,12.651,1740.0,1500.0,-240.0,1.4290000000000003
RADAR_GATE_ON,183979,11.502,64.0,12.651,1740.0,1500.0,-240.0,1.1489999999999991
RADAR_GATE_ON,184563,12.086,63.8,12.651,1740.0,1500.0,-240.0,0.5649999999999995
RADAR_GATE_ON,185184,12.707,60.0,12.762,1500.0,1740.0,240.0,0.054999999999999716
START_US_TURN,185410,12.933,1.0,14.022,1860.0,1100.0,-760.0,1.0890000000000004
