trigger_time_s,trigger_ts_ms,front_cm_at_trigger,trigger_type,servo_change_time_s,servo_us_before,servo_us_after,servo_delta_us,latency_s
8.25,180727,50.3,front<threshold,8.25,1740.0,1220.0,-520.0,0.0
13.121,185598,53.4,front<threshold,14.022,1860.0,1100.0,-760.0,0.9009999999999998
16.228,188705,31.3,front<threshold,16.373,1898.0,1140.0,-758.0,0.14499999999999957
19.875,192352,58.8,front<threshold,22.689,1740.0,1500.0,-240.0,2.814
20.397,192874,54.9,front<threshold,22.689,1740.0,1500.0,-240.0,2.2920000000000016
25.113,197590,59.8,front<threshold,25.718,1100.0,1500.0,400.0,0.6050000000000004
26.052,198529,58.5,front<threshold,27.028,1100.0,1900.0,800.0,0.9759999999999991
33.621,206098,59.8,front<threshold,33.738,1260.0,1500.0,240.0,0.11699999999999733
33.968,206445,53.7,front<threshold,34.781,1500.0,1100.0,-400.0,0.8129999999999953
35.983,208460,52.4,front<threshold,37.451,1220.0,1900.0,680.0,1.4680000000000035
37.244,209721,59.1,front<threshold,37.451,1220.0,1900.0,680.0,0.20700000000000074
37.668,210145,14.9,front<threshold,37.668,1900.0,1500.0,-400.0,0.0
