ts_ms,mode,front_cm,left_cm,right_cm,radar_has,rad_ang_deg,rad_dist_cm,rad_speed_cms,servo_us,drive_state,time_s
102113,RADAR_ONLY,264.8,22.1,9999.0,1,51.2,369.4,0.0,1500,0,0.0
102214,RADAR_ONLY,281.9,22.2,9999.0,0,0.0,9999.0,0.0,1500,0,0.101
102360,RADAR_ONLY,250.6,23.7,9999.0,1,51.9,372.2,0.0,1500,0,0.247
102503,RADAR_ONLY,252.3,22.4,9999.0,0,0.0,9999.0,0.0,1500,0,0.39
102646,RADAR_ONLY,236.8,22.6,9999.0,1,51.8,372.8,0.0,1500,0,0.533
102792,RADAR_ONLY,252.8,22.1,9999.0,1,51.1,372.9,0.0,1500,0,0.679
102937,RADAR_ONLY,251.9,23.1,9999.0,0,0.0,9999.0,0.0,1500,0,0.824
103038,RADAR_ONLY,282.4,23.2,9999.0,0,0.0,9999.0,0.0,1500,0,0.925
103184,RADAR_ONLY,244.9,26.8,9999.0,0,0.0,9999.0,0.0,1500,0,1.071
103330,RADAR_ONLY,252.6,22.7,9999.0,0,0.0,9999.0,0.0,1500,0,1.217
103474,RADAR_ONLY,250.4,27.6,9999.0,0,0.0,9999.0,0.0,1500,0,1.361
103620,RADAR_ONLY,251.2,26.6,9999.0,0,0.0,9999.0,0.0,1500,0,1.507
103721,RADAR_ONLY,275.2,26.6,9999.0,0,0.0,9999.0,0.0,1500,0,1.608
103822,RADAR_ONLY,281.5,24.3,9999.0,0,0.0,9999.0,0.0,1500,0,1.709
103926,RADAR_ONLY,281.0,28.2,9999.0,0,0.0,9999.0,0.0,1500,0,1.813
104028,RADAR_ONLY,279.2,78.4,9999.0,0,0.0,9999.0,0.0,1500,0,1.915
104130,RADAR_ONLY,281.2,77.2,9999.0,1,23.1,350.4,0.0,1500,0,2.017
104236,RADAR_ONLY,253.7,77.2,9999.0,1,22.9,349.6,0.0,1500,0,2.123
104380,RADAR_ONLY,246.4,23.6,9999.0,0,0.0,9999.0,0.0,1500,0,2.267
104485,RADAR_ONLY,245.3,94.6,9999.0,1,23.7,350.1,-16.0,1500,0,2.372
104589,RADAR_ONLY,243.1,91.7,9999.0,0,0.0,9999.0,0.0,1500,0,2.476
104693,RADAR_ONLY,242.7,91.7,9999.0,0,0.0,9999.0,0.0,1500,0,2.58
104796,RADAR_ONLY,242.9,90.7,9999.0,0,0.0,9999.0,0.0,1500,0,2.683
104903,RADAR_ONLY,250.6,82.2,9999.0,0,0.0,9999.0,0.0,1500,0,2.79
105010,RADAR_ONLY,279.4,82.2,9999.0,1,30.1,351.3,8.0,1500,0,2.897
105118,RADAR_ONLY,279.1,82.4,9999.0,1,31.2,351.0,8.0,1500,0,3.005
105222,RADAR_ONLY,250.8,93.0,9999.0,1,31.6,350.9,8.0,1500,0,3.109
105330,RADAR_ONLY,250.8,100.9,9999.0,0,0.0,9999.0,0.0,1500,0,3.217
105479,RADAR_ONLY,278.7,98.6,9999.0,0,0.0,9999.0,0.0,1500,1,3.366
105585,RADAR_ONLY,272.4,83.5,9999.0,1,32.7,350.8,0.0,1500,1,3.472
105694,RADAR_ONLY,281.4,83.5,9999.0,0,0.0,9999.0,0.0,1500,1,3.581
105799,RADAR_ONLY,281.4,80.0,9999.0,0,0.0,9999.0,0.0,1500,1,3.686
105906,RADAR_ONLY,251.8,81.1,9999.0,0,0.0,9999.0,0.0,1500,1,3.793
106015,RADAR_ONLY,283.4,98.9,9999.0,1,33.4,353.9,0.0,1500,1,3.902
106120,RADAR_ONLY,248.9,94.6,9999.0,1,35.0,355.0,0.0,1500,1,4.007
106229,RADAR_ONLY,282.1,81.3,9999.0,0,0.0,9999.0,0.0,1500,1,4.116
106334,RADAR_ONLY,282.1,78.4,9999.0,0,0.0,9999.0,0.0,1500,1,4.221
106441,RADAR_ONLY,246.0,98.6,9999.0,1,36.2,356.5,-8.0,1500,1,4.328
106551,RADAR_ONLY,283.5,97.9,9999.0,1,36.1,356.9,0.0,1500,1,4.438
106659,RADAR_ONLY,282.0,97.7,9999.0,1,35.9,357.4,0.0,1500,1,4.546
106768,RADAR_ONLY,281.7,97.0,9999.0,0,0.0,9999.0,0.0,1500,1,4.655
106885,RADAR_ONLY,282.7,98.6,9999.0,0,0.0,9999.0,0.0,1500,1,4.772
107024,RADAR_ONLY,60.1,9999.0,213.5,0,0.0,9999.0,0.0,1500,1,4.911
107140,RADAR_ONLY,91.6,103.2,9999.0,0,0.0,9999.0,0.0,1500,1,5.027
107255,RADAR_ONLY,9999.0,103.2,9999.0,1,32.5,352.0,0.0,1500,1,5.142
107357,RADAR_ONLY,280.7,95.3,9999.0,0,0.0,9999.0,0.0,1500,1,5.244
107467,RADAR_ONLY,37.8,9999.0,213.4,0,0.0,9999.0,0.0,1500,1,5.354
107606,RADAR_ONLY,28.6,9999.0,214.0,1,28.6,337.9,0.0,1500,1,5.493
107739,RADAR_ONLY,20.9,9999.0,213.3,0,0.0,9999.0,0.0,1500,0,5.626
107866,RADAR_ONLY,20.0,9999.0,134.6,1,27.5,336.8,0.0,1500,0,5.753
107992,RADAR_ONLY,14.4,9999.0,129.9,0,0.0,9999.0,0.0,1500,0,5.879
108122,RADAR_ONLY,12.1,9999.0,205.5,0,0.0,9999.0,0.0,1500,0,6.009
108247,RADAR_ONLY,11.1,9999.0,132.8,1,27.5,336.2,0.0,1500,0,6.134
108377,RADAR_ONLY,10.8,9999.0,213.2,0,0.0,9999.0,0.0,1500,0,6.264
108499,RADAR_ONLY,86.3,99.9,212.6,1,27.5,335.3,0.0,1500,0,6.386
108607,RADAR_ONLY,272.8,79.0,9999.0,1,27.6,335.2,0.0,1500,0,6.494
108712,RADAR_ONLY,268.8,98.7,9999.0,0,0.0,9999.0,0.0,1500,0,6.599
108819,RADAR_ONLY,263.4,97.9,9999.0,0,0.0,9999.0,0.0,1500,0,6.706
108927,RADAR_ONLY,244.4,102.8,9999.0,0,0.0,9999.0,0.0,1500,0,6.814
109031,RADAR_ONLY,279.9,96.5,9999.0,0,0.0,9999.0,0.0,1500,0,6.918
109133,RADAR_ONLY,278.4,30.3,9999.0,1,27.8,335.3,0.0,1500,0,7.02
