gate_on_ts,steer_cmd_ts,latency_s,method
739482,743315,3.833,servo
739847,743315,3.468,servo
740202,743315,3.113,servo
740307,743315,3.008,servo
740745,743315,2.57,servo
740844,743315,2.471,servo
740916,743315,2.399,servo
741205,743315,2.11,servo
741353,743315,1.962,servo
741459,743315,1.856,servo
741832,743315,1.483,servo
742098,743315,1.217,servo
742339,743315,0.976,servo
742608,743315,0.707,servo
742862,743315,0.453,servo
743140,743315,0.175,servo
743236,743315,0.079,servo
743610,743617,0.007,servo
743757,744463,0.706,servo
743897,744463,0.566,servo
744038,744463,0.425,servo
744340,744463,0.123,servo
744759,745186,0.427,servo
745463,745611,0.148,servo
745744,746427,0.683,servo
746278,746427,0.149,servo
746422,746427,0.005,servo
746778,747023,0.245,servo
747085,747186,0.101,servo
747352,748189,0.837,servo
747526,748189,0.663,servo
747705,748189,0.484,servo
747946,748189,0.243,servo
748138,748189,0.051,servo
748315,748346,0.031,servo
748655,748920,0.265,servo
748914,748920,0.006,servo
749322,750075,0.753,servo
749901,750075,0.174,servo
750168,750199,0.031,servo
750479,750489,0.01,servo
750983,753242,2.259,servo
751057,753242,2.185,servo
751324,753242,1.918,servo
751692,753242,1.55,servo
751942,753242,1.3,servo
752663,753242,0.579,servo
752927,753242,0.315,servo
753234,753242,0.008,servo
753458,753548,0.09,servo
753824,753975,0.151,servo
754267,754279,0.012,servo
754357,755172,0.815,servo
754679,755172,0.493,servo
756067,756077,0.01,servo
756308,756315,0.007,servo
756403,756480,0.077,servo
756946,757395,0.449,servo
757123,757395,0.272,servo
758042,758050,0.008,servo
758268,758275,0.007,servo
758412,758419,0.007,servo
758555,761203,2.648,servo
758814,761203,2.389,servo
759161,761203,2.042,servo
759252,761203,1.951,servo
759454,761203,1.749,servo
759521,761203,1.682,servo
759840,761203,1.363,servo
759956,761203,1.247,servo
760362,761203,0.841,servo
760629,761203,0.574,servo
761401,761411,0.01,servo
761512,761526,0.014,servo
761862,765785,3.923,servo
762120,765785,3.665,servo
762643,765785,3.142,servo
762976,765785,2.809,servo
763251,765785,2.534,servo
763423,765785,2.362,servo
763549,765785,2.236,servo
763969,765785,1.816,servo
764054,765785,1.731,servo
764419,765785,1.366,servo
764529,765785,1.256,servo
764848,765785,0.937,servo
764935,765785,0.85,servo
765042,765785,0.743,servo
765498,765785,0.287,servo
765647,765785,0.138,servo
765915,765921,0.006,servo
766018,766023,0.005,servo
766380,766394,0.014,servo
766680,767198,0.518,servo
766914,767354,0.44,servo
767428,767470,0.042,servo
767554,769450,1.896,servo
767919,769450,1.531,servo
768171,769450,1.279,servo
768672,769450,0.778,servo
768951,769450,0.499,servo
769130,769450,0.32,servo
769436,769450,0.014,servo
769830,769944,0.114,servo
769930,769944,0.014,servo
770208,770215,0.007,servo
770466,771973,1.507,servo
771115,771973,0.858,servo
771531,771973,0.442,servo
771794,771973,0.179,servo
771916,771973,0.057,servo
772113,772123,0.01,servo
772678,773154,0.476,servo
772948,773154,0.206,servo
773122,773154,0.032,servo
773501,773894,0.393,servo
773862,773894,0.032,servo
774112,774143,0.031,servo
774255,775049,0.794,servo
774495,775049,0.554,servo
774638,775049,0.411,servo
774779,775049,0.27,servo
775042,775049,0.007,servo
775294,775713,0.419,servo
775708,775713,0.005,servo
775971,776857,0.886,servo
776353,776857,0.504,servo
776711,776857,0.146,servo
777220,777973,0.753,servo
778216,778221,0.005,servo
778319,778323,0.004,servo
778553,779376,0.823,servo
778680,779376,0.696,servo
779620,779651,0.031,servo
