ts_ms,angle_deg,dist_cm,servo_us,time_s
739276,0.0,9999.0,1260,0.0
739394,0.0,9999.0,1260,0.118
739514,-27.7,45.2,1260,0.238
739634,-27.5,45.0,1260,0.358
739758,0.0,9999.0,1260,0.482
739878,-27.1,44.8,1260,0.602
739993,-27.1,44.8,1260,0.717
740108,0.0,9999.0,1260,0.832
740248,0.0,9999.0,1260,0.972
740370,0.0,9999.0,1260,1.094
740493,0.0,9999.0,1260,1.217
740615,0.0,9999.0,1260,1.339
740749,-29.1,48.1,1260,1.473
740865,0.0,9999.0,1260,1.589
741001,0.0,9999.0,1260,1.725
741122,0.0,9999.0,1260,1.846
741232,0.0,9999.0,1260,1.956
741358,-33.1,53.6,1260,2.082
741463,-33.2,54.4,1260,2.187
741590,0.0,9999.0,1260,2.314
741725,0.0,9999.0,1260,2.449
741836,-33.1,58.2,1260,2.56
741973,0.0,9999.0,1260,2.697
742103,-31.1,61.1,1260,2.827
742207,0.0,9999.0,1260,2.931
742345,-24.6,69.4,1260,3.069
742480,0.0,9999.0,1260,3.204
742614,-19.4,75.5,1260,3.338
742774,0.0,9999.0,1260,3.498
742888,0.0,9999.0,1260,3.612
743054,0.0,9999.0,1260,3.778
743168,0.0,9999.0,1260,3.892
743315,0.0,9999.0,1731,4.039
743478,0.0,9999.0,1844,4.202
743617,-2.2,112.1,1884,4.341
743763,-1.9,112.7,1899,4.487
743903,-2.0,113.7,1899,4.627
744045,-1.7,115.7,1899,4.769
744208,0.0,9999.0,1899,4.932
744348,-0.8,117.9,1899,5.072
744463,0.0,9999.0,1260,5.187
744626,0.0,9999.0,1260,5.35
744766,-1.9,118.2,1260,5.49
744904,0.0,9999.0,1260,5.628
745019,0.0,9999.0,1260,5.743
745186,0.0,9999.0,1772,5.91
745330,0.0,9999.0,1894,6.054
745495,-2.6,120.1,1820,6.219
745611,0.0,9999.0,1884,6.335
745751,-3.0,120.5,1899,6.475
745868,0.0,9999.0,1899,6.592
745983,0.0,9999.0,1899,6.707
746145,0.0,9999.0,1899,6.869
746284,-3.3,118.8,1899,7.008
746427,-3.3,117.2,1260,7.151
746533,0.0,9999.0,1260,7.257
746654,0.0,9999.0,1260,7.378
746783,-3.5,112.6,1260,7.507
746895,0.0,9999.0,1260,7.619
747023,0.0,9999.0,1772,7.747
747186,0.0,9999.0,1894,7.91
747290,0.0,9999.0,1899,8.014
747442,0.0,9999.0,1899,8.166
747585,0.0,9999.0,1899,8.309
747712,-3.4,101.4,1899,8.436
747823,0.0,9999.0,1899,8.547
747954,-3.7,91.7,1899,8.678
748081,0.0,9999.0,1899,8.805
748189,0.0,9999.0,1260,8.913
748346,-3.4,88.2,1260,9.07
748469,0.0,9999.0,1260,9.193
748574,0.0,9999.0,1260,9.298
748686,-2.8,85.5,1260,9.41
748813,0.0,9999.0,1260,9.537
748920,-2.9,84.1,1874,9.644
749028,0.0,9999.0,1899,9.752
749189,0.0,9999.0,1899,9.913
749329,-2.7,85.8,1899,10.053
749465,0.0,9999.0,1899,10.189
749627,0.0,9999.0,1899,10.351
749790,0.0,9999.0,1899,10.514
749932,-1.8,103.6,1820,10.656
750075,0.0,9999.0,1260,10.799
750199,1.1,126.4,1260,10.923
750349,1.9,142.2,1772,11.073
750489,1.8,149.3,1894,11.213
750610,0.0,9999.0,1898,11.334
750774,0.0,9999.0,1899,11.498
750896,0.0,9999.0,1899,11.62
751018,0.0,9999.0,1899,11.742
751136,0.0,9999.0,1899,11.86
751253,0.0,9999.0,1899,11.977
751359,0.0,9999.0,1899,12.083
751476,0.0,9999.0,1899,12.2
751596,0.0,9999.0,1899,12.32
751723,-1.6,207.7,1899,12.447
751871,0.0,9999.0,1899,12.595
751973,-2.9,211.5,1899,12.697
752086,-2.7,212.7,1899,12.81
752206,0.0,9999.0,1899,12.93
752327,0.0,9999.0,1899,13.051
752453,0.0,9999.0,1899,13.177
752574,0.0,9999.0,1899,13.298
752678,-2.7,217.8,1899,13.402
752809,0.0,9999.0,1899,13.533
752958,-2.2,217.8,1899,13.682
753120,0.0,9999.0,1899,13.844
753242,-1.9,217.1,1260,13.966
753389,0.0,9999.0,1260,14.113
753548,0.0,9999.0,1260,14.272
753687,0.0,9999.0,1260,14.411
753856,-2.0,215.0,1260,14.58
753975,0.0,9999.0,1772,14.699
754143,0.0,9999.0,1894,14.867
754279,-1.9,213.9,1899,15.003
754389,-2.1,213.4,1899,15.113
754537,0.0,9999.0,1899,15.261
754690,-2.5,212.6,1884,15.414
754822,0.0,9999.0,1820,15.546
754932,0.0,9999.0,1884,15.656
755037,0.0,9999.0,1836,15.761
755172,0.0,9999.0,1260,15.896
755296,0.0,9999.0,1500,16.02
755445,0.0,9999.0,1500,16.169
755566,0.0,9999.0,1500,16.29
755694,0.0,9999.0,1500,16.418
755847,0.0,9999.0,1500,16.571
755971,0.0,9999.0,1500,16.695
756077,-3.2,202.2,1260,16.801
756194,0.0,9999.0,1874,16.918
756315,-2.4,194.4,1898,17.039
756480,0.0,9999.0,1899,17.204
756630,0.0,9999.0,1899,17.354
756752,0.0,9999.0,1899,17.476
756855,0.0,9999.0,1899,17.579
757004,0.0,9999.0,1899,17.728
757155,-1.9,189.9,1899,17.879
757273,0.0,9999.0,1899,17.997
757395,0.0,9999.0,1260,18.119
757519,0.0,9999.0,1260,18.243
757644,0.0,9999.0,1260,18.368
757765,0.0,9999.0,1500,18.489
757907,0.0,9999.0,1500,18.631
758050,-1.1,171.6,1260,18.774
758156,0.0,9999.0,1772,18.88
758275,-1.9,165.2,1894,18.999
758419,-1.7,162.6,1899,19.143
758562,-1.2,157.8,1899,19.286
758679,0.0,9999.0,1899,19.403
758820,0.2,151.1,1899,19.544
758959,0.0,9999.0,1899,19.683
759099,0.0,9999.0,1899,19.823
759213,0.0,9999.0,1899,19.937
759350,0.0,9999.0,1899,20.074
759460,0.8,122.8,1899,20.184
759591,0.0,9999.0,1899,20.315
759703,0.0,9999.0,1899,20.427
759847,1.6,118.8,1899,20.571
759962,1.8,115.2,1899,20.686
760079,2.7,112.7,1899,20.803
760237,0.0,9999.0,1899,20.961
760393,12.8,103.8,1899,21.117
