ts_ms,time_s,source,state,steer_mode,front_cm,left_cm,right_cm,servo_us
313350,0.0,T,STOP,CRUISE,246.5,21.5,13.8,1500.0
313353,0.003,RAW,ULTRASONIC_ONLY,,246.5,21.5,13.8,1500.0
313456,0.106,T,STOP,CRUISE,247.3,46.8,14.1,1500.0
313458,0.108,RAW,ULTRASONIC_ONLY,,247.3,46.8,14.1,1500.0
313563,0.213,T,STOP,CRUISE,246.2,76.9,14.1,1500.0
313566,0.216,RAW,ULTRASONIC_ONLY,,246.2,76.9,14.1,1500.0
313687,0.337,T,STOP,CRUISE,238.8,21.2,14.7,1500.0
313690,0.34,RAW,ULTRASONIC_ONLY,,238.8,21.2,14.7,1500.0
313792,0.442,T,STOP,CRUISE,246.6,28.8,14.3,1500.0
313795,0.445,RAW,ULTRASONIC_ONLY,,246.6,28.8,14.3,1500.0
313944,0.594,T,STOP,CRUISE,250.4,21.5,14.2,1500.0
313947,0.597,RAW,ULTRASONIC_ONLY,,250.4,21.5,14.2,1500.0
314052,0.702,T,STOP,CRUISE,248.8,78.5,13.9,1500.0
314055,0.705,RAW,ULTRASONIC_ONLY,,248.8,78.5,13.9,1500.0
314202,0.852,T,STOP,CRUISE,87.3,79.4,13.8,1500.0
314205,0.855,RAW,ULTRASONIC_ONLY,,87.3,79.4,13.8,1500.0
314319,0.969,T,STOP,CRUISE,93.3,79.0,13.8,1500.0
314322,0.972,RAW,ULTRASONIC_ONLY,,93.3,79.0,13.8,1500.0
314460,1.11,T,STOP,CRUISE,246.4,79.4,13.8,1500.0
314463,1.113,RAW,ULTRASONIC_ONLY,,246.4,79.4,13.8,1500.0
314573,1.223,T,STOP,CRUISE,84.3,79.2,13.8,1500.0
314576,1.226,RAW,ULTRASONIC_ONLY,,84.3,79.2,13.8,1500.0
314681,1.331,T,STOP,CRUISE,94.0,79.4,13.8,1500.0
314684,1.334,RAW,ULTRASONIC_ONLY,,94.0,79.4,13.8,1500.0
314787,1.437,T,STOP,CRUISE,99.8,79.4,13.8,1500.0
314790,1.44,RAW,ULTRASONIC_ONLY,,99.8,79.4,13.8,1500.0
314921,1.571,T,STOP,CRUISE,111.1,79.4,13.8,1500.0
314924,1.574,RAW,ULTRASONIC_ONLY,,111.1,79.4,13.8,1500.0
315042,1.692,T,STOP,CRUISE,122.5,79.0,13.8,1500.0
315045,1.695,RAW,ULTRASONIC_ONLY,,122.5,79.0,13.8,1500.0
315156,1.806,T,STOP,CRUISE,119.0,78.7,13.8,1500.0
315159,1.809,RAW,ULTRASONIC_ONLY,,119.0,78.7,13.8,1500.0
315279,1.929,T,STOP,CRUISE,126.8,78.8,13.8,1500.0
315282,1.932,RAW,ULTRASONIC_ONLY,,126.8,78.8,13.8,1500.0
315410,2.06,T,STOP,CRUISE,99.4,74.6,13.8,1500.0
315413,2.063,RAW,ULTRASONIC_ONLY,,99.4,74.6,13.8,1500.0
315549,2.199,T,STOP,CRUISE,134.5,78.9,13.9,1500.0
315552,2.202,RAW,ULTRASONIC_ONLY,,134.5,78.9,13.9,1500.0
315688,2.338,T,STOP,CRUISE,145.3,79.0,13.8,1500.0
315691,2.341,RAW,ULTRASONIC_ONLY,,145.3,79.0,13.8,1500.0
315808,2.458,T,STOP,CRUISE,144.8,79.0,13.9,1500.0
315811,2.461,RAW,ULTRASONIC_ONLY,,144.8,79.0,13.9,1500.0
315955,2.605,T,STOP,CRUISE,147.2,79.8,13.9,1500.0
315958,2.608,RAW,ULTRASONIC_ONLY,,147.2,79.8,13.9,1500.0
316075,2.725,T,STOP,CRUISE,146.0,79.3,13.8,1500.0
316078,2.728,RAW,ULTRASONIC_ONLY,,146.0,79.3,13.8,1500.0
316217,2.867,T,STOP,CRUISE,141.7,79.3,13.8,1500.0
316220,2.87,RAW,ULTRASONIC_ONLY,,141.7,79.3,13.8,1500.0
