ts_ms,time_s,source,state,steer_mode,front_cm,left_cm,right_cm,servo_us
167211,0.016,T,STOP,CRUISE,246.8,23.7,,1500.0
167213,0.018,RAW,ULTRASONIC_ONLY,,246.8,23.7,,1500.0
167340,0.145,T,STOP,CRUISE,245.8,22.2,,1500.0
167342,0.147,RAW,ULTRASONIC_ONLY,,245.8,22.2,,1500.0
167469,0.274,T,STOP,CRUISE,244.9,22.1,,1500.0
167472,0.277,RAW,ULTRASONIC_ONLY,,244.9,22.1,,1500.0
167597,0.402,T,STOP,CRUISE,245.8,22.6,,1500.0
167600,0.405,RAW,ULTRASONIC_ONLY,,245.8,22.6,,1500.0
167725,0.53,T,STOP,CRUISE,246.5,22.6,,1500.0
167728,0.533,RAW,ULTRASONIC_ONLY,,246.5,22.6,,1500.0
167853,0.658,T,STOP,CRUISE,245.4,22.9,,1500.0
167856,0.661,RAW,ULTRASONIC_ONLY,,245.4,22.9,,1500.0
167987,0.792,T,STOP,CRUISE,246.3,22.5,,1500.0
167990,0.795,RAW,ULTRASONIC_ONLY,,246.3,22.5,,1500.0
168121,0.926,T,STOP,CRUISE,245.3,81.1,,1500.0
168123,0.928,RAW,ULTRASONIC_ONLY,,245.3,81.1,,1500.0
168252,1.057,T,STOP,CRUISE,246.2,57.4,,1500.0
168255,1.06,RAW,ULTRASONIC_ONLY,,246.2,57.4,,1500.0
168387,1.192,T,STOP,CRUISE,245.0,56.1,,1500.0
168389,1.194,RAW,ULTRASONIC_ONLY,,245.0,56.1,,1500.0
168523,1.328,T,STOP,CRUISE,245.8,81.9,,1500.0
168526,1.331,RAW,ULTRASONIC_ONLY,,245.8,81.9,,1500.0
168659,1.464,T,STOP,CRUISE,245.8,80.9,,1500.0
168662,1.467,RAW,ULTRASONIC_ONLY,,245.8,80.9,,1500.0
168797,1.602,T,STOP,CRUISE,245.4,78.2,,1500.0
168799,1.604,RAW,ULTRASONIC_ONLY,,245.4,78.2,,1500.0
168933,1.738,T,STOP,CRUISE,246.5,79.1,,1500.0
168936,1.741,RAW,ULTRASONIC_ONLY,,246.5,79.1,,1500.0
169069,1.874,T,STOP,CRUISE,245.7,80.2,,1500.0
169071,1.876,RAW,ULTRASONIC_ONLY,,245.7,80.2,,1500.0
169204,2.009,T,STOP,CRUISE,245.4,78.2,,1500.0
169207,2.012,RAW,ULTRASONIC_ONLY,,245.4,78.2,,1500.0
169342,2.147,T,STOP,CRUISE,245.4,80.2,,1500.0
169344,2.149,RAW,ULTRASONIC_ONLY,,245.4,80.2,,1500.0
169477,2.282,T,STOP,CRUISE,245.3,79.8,,1500.0
169480,2.285,RAW,ULTRASONIC_ONLY,,245.3,79.8,,1500.0
169614,2.419,T,STOP,CRUISE,247.2,80.1,,1500.0
169617,2.422,RAW,ULTRASONIC_ONLY,,247.2,80.1,,1500.0
169740,2.545,T,STOP,CRUISE,247.0,80.3,,1500.0
169743,2.548,RAW,ULTRASONIC_ONLY,,247.0,80.3,,1500.0
169865,2.67,T,STOP,CRUISE,245.8,80.7,,1500.0
169868,2.673,RAW,ULTRASONIC_ONLY,,245.8,80.7,,1500.0
170002,2.807,T,STOP,CRUISE,74.7,81.9,,1500.0
170005,2.81,RAW,ULTRASONIC_ONLY,,74.7,81.9,,1500.0
170163,2.968,T,STOP,CRUISE,73.7,,219.5,1500.0
170166,2.971,RAW,ULTRASONIC_ONLY,,73.7,,219.5,1500.0
170268,3.073,T,STOP,CRUISE,96.4,80.2,,1500.0
170271,3.076,RAW,ULTRASONIC_ONLY,,96.4,80.2,,1500.0
170374,3.179,T,STOP,CRUISE,83.4,81.9,197.9,1500.0
170377,3.182,RAW,ULTRASONIC_ONLY,,83.4,81.9,197.9,1500.0
170479,3.284,T,STOP,CRUISE,82.2,82.2,206.2,1500.0
170482,3.287,RAW,ULTRASONIC_ONLY,,82.2,82.2,206.2,1500.0
