ts_ms,time_s,source,state,steer_mode,front_cm,left_cm,right_cm,servo_us
250701,0.0,T,STOP,CRUISE,246.1,6.0,,1500.0
250705,0.004,RAW,ULTRASONIC_ONLY,,246.1,6.0,,1500.0
250830,0.129,T,STOP,CRUISE,245.6,6.1,,1500.0
250833,0.132,RAW,ULTRASONIC_ONLY,,245.6,6.1,,1500.0
250955,0.254,T,STOP,CRUISE,247.1,6.1,,1500.0
250958,0.257,RAW,ULTRASONIC_ONLY,,247.1,6.1,,1500.0
251084,0.383,T,STOP,CRUISE,246.1,6.0,,1500.0
251086,0.385,RAW,ULTRASONIC_ONLY,,246.1,6.0,,1500.0
251200,0.499,T,STOP,CRUISE,245.6,6.1,,1500.0
251203,0.502,RAW,ULTRASONIC_ONLY,,245.6,6.1,,1500.0
251328,0.627,T,STOP,CRUISE,245.4,6.1,,1500.0
251331,0.63,RAW,ULTRASONIC_ONLY,,245.4,6.1,,1500.0
251456,0.755,T,STOP,CRUISE,245.7,6.1,,1500.0
251458,0.757,RAW,ULTRASONIC_ONLY,,245.7,6.1,,1500.0
251583,0.882,T,STOP,CRUISE,246.4,6.1,,1500.0
251586,0.885,RAW,ULTRASONIC_ONLY,,246.4,6.1,,1500.0
251711,1.01,T,STOP,CRUISE,246.0,6.1,,1500.0
251713,1.012,RAW,ULTRASONIC_ONLY,,246.0,6.1,,1500.0
251839,1.138,T,STOP,CRUISE,247.0,6.1,,1500.0
251842,1.141,RAW,ULTRASONIC_ONLY,,247.0,6.1,,1500.0
251966,1.265,T,STOP,CRUISE,245.6,6.0,,1500.0
251969,1.268,RAW,ULTRASONIC_ONLY,,245.6,6.0,,1500.0
252074,1.373,T,STOP,CRUISE,84.3,6.0,,1500.0
252077,1.376,RAW,ULTRASONIC_ONLY,,84.3,6.0,,1500.0
252217,1.516,T,STOP,CRUISE,85.4,6.1,,1500.0
252220,1.519,RAW,ULTRASONIC_ONLY,,85.4,6.1,,1500.0
252362,1.661,T,STOP,CRUISE,86.9,4.0,,1500.0
252365,1.664,RAW,ULTRASONIC_ONLY,,86.9,4.0,,1500.0
252501,1.8,T,STOP,CRUISE,71.0,5.7,,1500.0
252504,1.803,RAW,ULTRASONIC_ONLY,,71.0,5.7,,1500.0
252640,1.939,T,STOP,CRUISE,77.6,6.1,,1500.0
252642,1.941,RAW,ULTRASONIC_ONLY,,77.6,6.1,,1500.0
252771,2.07,T,STOP,CRUISE,90.0,6.1,,1500.0
252774,2.073,RAW,ULTRASONIC_ONLY,,90.0,6.1,,1500.0
252904,2.203,T,STOP,CRUISE,87.3,6.0,,1500.0
252906,2.205,RAW,ULTRASONIC_ONLY,,87.3,6.0,,1500.0
253041,2.34,T,STOP,CRUISE,104.0,6.1,,1500.0
253044,2.343,RAW,ULTRASONIC_ONLY,,104.0,6.1,,1500.0
253179,2.478,T,STOP,CRUISE,98.1,6.1,,1500.0
253181,2.48,RAW,ULTRASONIC_ONLY,,98.1,6.1,,1500.0
253317,2.616,T,STOP,CRUISE,107.0,6.1,,1500.0
253320,2.619,RAW,ULTRASONIC_ONLY,,107.0,6.1,,1500.0
253454,2.753,T,STOP,CRUISE,113.6,6.0,,1500.0
253457,2.756,RAW,ULTRASONIC_ONLY,,113.6,6.0,,1500.0
253595,2.894,T,STOP,CRUISE,115.1,6.0,,1500.0
253598,2.897,RAW,ULTRASONIC_ONLY,,115.1,6.0,,1500.0
253732,3.031,T,STOP,CRUISE,110.2,6.1,,1500.0
253735,3.034,RAW,ULTRASONIC_ONLY,,110.2,6.1,,1500.0
253871,3.17,T,STOP,CRUISE,108.6,6.1,,1500.0
253873,3.172,RAW,ULTRASONIC_ONLY,,108.6,6.1,,1500.0
254010,3.309,T,STOP,CRUISE,112.6,6.0,,1500.0
254013,3.312,RAW,ULTRASONIC_ONLY,,112.6,6.0,,1500.0
254149,3.448,T,STOP,CRUISE,115.8,6.1,,1500.0
254152,3.451,RAW,ULTRASONIC_ONLY,,115.8,6.1,,1500.0
254287,3.586,T,STOP,CRUISE,116.1,6.1,,1500.0
254289,3.588,RAW,ULTRASONIC_ONLY,,116.1,6.1,,1500.0
254393,3.692,T,STOP,CRUISE,107.3,6.1,,1500.0
254395,3.694,RAW,ULTRASONIC_ONLY,,107.3,6.1,,1500.0
254539,3.838,T,STOP,CRUISE,137.6,6.1,,1500.0
